"SCN","Description","Start Lat","Start Long","End Lat","End Long"
"N06421E","Trinity Way southwest bound right turn approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.4871872675535","-2.25279822736375","53.4869072927903","-2.25333815123855"
"N06421F","Trinity Way southwest bound approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.4878172155391","-2.25124843892665","53.4868572995227","-2.25327815645238"
"N06421G","Blackfriars Rd northwest bound approach at junction of Trinity Way/Blackfriars Rd, Salford.","53.486087404853","-2.25223825069027","53.4866573214723","-2.25338813522705"
"N06431X","Trinity Way northeast bound approach at junction of Trinity Way/Deva Centre, Salford.","53.4847475016482","-2.25650768372857","53.4853774379621","-2.25577779668668"
"N06431Y","Trinity Way southwest bound approach at junction of Trinity Way/Deva Centre, Salford.","53.4866373191282","-2.25371809475108","53.485547423523","-2.25538785037394"
"N06431Z","Fredrick St approach at junction of Trinity Way/Deva Centre, Salford.","53.4849974945903","-2.25493788248104","53.4852974523473","-2.25542783556713"
"N06441V","Trinity Way southwest bound approach at PELICAN of Trinity Way N of Bloom St, DP NB/SB, Salford.","","","",""
"N06442U","Trinity Way northeast bound approach at PELICAN of Trinity Way N of Bloom St, DP NB/SB, Salford.","","","",""
"N06451L","Trinity Way northeast bound approach at junction of Chapel St/Trinity Way, Salford.","53.481777841164","-2.25718748323215","53.4831576726566","-2.25762748550495"
"N06451M","Trinity Way northeast bound left turn approach at junction of Chapel St/Trinity Way, Salford.","53.4827877111799","-2.25797742863535","53.4831576709498","-2.25774747107826"
"N06451P","Chapel St eastbound approach at junction of Chapel St/Trinity Way, Salford.","53.4833876269824","-2.25893733720756","53.4833676462596","-2.25774747947385"
"N06451R","Trinity Way southwest bound approach at junction of Chapel St/Trinity Way, Salford.","53.4846675126189","-2.25639769375456","53.4835376339535","-2.257207551191"
"N06451S","Chapel St westbound approach at junction of Chapel St/Trinity Way, Salford.","53.4834476704253","-2.25538776639776","53.4832976650157","-2.25700756564009"
"N06461T","Chapel St westbound approach at PUFFIN of Chapel St opposite Bexley Square,DP EB/WB, Salford.","53.4832776582635","-2.25764748789801","53.4832876387396","-2.25893733320998"
"N06462E","Chapel St eastbound approach at PUFFIN of Chapel St opposite Bexley Square,DP EB/WB, Salford.","","","",""
"N06471F","Chapel St westbound approach at junction of Chapel St/Gt George St,Salford.","","","",""
"N06471G","Islington Way approach at junction of Chapel St/Gt George St,Salford.","","","",""
"N06471J","Chapel St eastbound approach at junction of Chapel St/Gt George St,Salford.","","","",""
"N06471K","Gt George St approach at junction of Chapel St/Gt George St,Salford.","","","",""
"N06481L","Chapel St westbound approach at junction of Chapel St/Oldfield Rd/The Crescent, Salford.","53.483237582901","-2.26327680943728","53.4832075767599","-2.26395672648498"
"N06481P","Oldfield Rd approach at junction of Chapel St/Oldfield Rd/The Crescent, Salford.","53.482717626409","-2.26451663957855","53.4830275899614","-2.26451665196578"
"N06481Q","Chapel St eastbound approach at junction of Chapel St/Oldfield Rd/The Crescent, Salford.","53.483827412323","-2.27039597698548","53.4832975488335","-2.26517658340536"
"N06481S","Adelphi St approach at junction of Chapel St/Oldfield Rd/The Crescent, Salford.","53.4846573954729","-2.26471669305632","53.4834875321813","-2.26477663908824"
"N06491X","The Crescent southeast bound approach at PELICAN of The Crescent E of Albion Place (University),DP E","53.485547133082","-2.27581539400819","53.4845272929324","-2.27300569113773"
"N06493T","The Crescent northwest bound approach at junction of The Crescent/Irwell Place, Salford.","","","",""
"N06493U","Irwell Place approach at junction of The Crescent/Irwell Place, Salford.","","","",""
"N06493W","The Crescent southeast bound approach at junction of The Crescent/Irwell Place, Salford.","","","",""
"N06511A","Chapel St eastbound approach at junction of Chapel St/New Bailey St, Salford.","53.4833976531163","-2.257017568436","53.4835076642246","-2.25532777601027"
"N06511B","Chapel St westbound approach at junction of Chapel St/New Bailey St, Salford.","53.4839076502041","-2.2530080709219","53.4835176718695","-2.25470785094783"
"N06511C","New Bailey St approach at junction of Chapel St/New Bailey St, Salford.","53.4827277705841","-2.25429786864788","53.4833376894757","-2.25495781369461"
"N06521E","New Bailey St southeast bound approach at junction of New Bailey Street/Browncross Street, Salford","53.4834276800324","-2.25487782691121","53.4827377705466","-2.25421787866531"
"N06521F","Browncross St approach at junction of New Bailey Street/Browncross Street, Salford","53.4828877648623","-2.25337798564805","53.482697778664","-2.25397790591844"
"N06521G","New Bailey St northwest bound approach at junction of New Bailey Street/Browncross Street, Salford","53.4815379378113","-2.25237805187835","53.4823778169981","-2.25392789913319"
"N06521H","Car Park Access approach at junction of New Bailey Street/Browncross Street, Salford","53.4823278149093","-2.25448782981155","53.4824378059601","-2.25420786787127"
"N06611E","IRR approach at junction of Manchester & Salford IRR/Irwell Street, Salford","53.4786281678471","-2.2602569882713","53.4815178714479","-2.25720747043384"
"N06611G","Irwell St southeast bound right turn approach at junction of Manchester & Salford IRR/Irwell Street,","53.4831776734346","-2.25740751275347","53.4817278524478","-2.25680752691615"
"N06611H","Irwell St southeast bound ahead approach at junction of Manchester & Salford IRR/Irwell Street, Salf","","","",""
"N06611J","Irwell St northwest bound approach at junction of Manchester & Salford IRR/Irwell Street, Salford","53.4810679353076","-2.25643754501106","53.4813079035345","-2.25668752455159"
"N06621A","IRR northeast bound approach at junction of Manchester & Salford IRR/Hampson Street, Salford","53.4764684035943","-2.26153674809903","53.4783181973256","-2.26074691698062"
"N06621B","Hampson St approach at junction of Manchester & Salford IRR/Hampson Street, Salford","53.4788781175514","-2.26172682155005","53.4785881672883","-2.26062694219487"
"N06621C","IRR southwest bound right turn approach at junction of Manchester & Salford IRR/Hampson Street, Salf","53.4813078937197","-2.25737744160197","53.4784781857669","-2.26023698468141"
"N06621D","IRR southwest bound approach at junction of Manchester & Salford IRR/Hampson Street, Salford","53.4812678991337","-2.2573274460138","53.4784381911807","-2.26018698909351"
"N06631X","A6042 Inner Relief Route Northbound at Junction with Water St","53.4756385013178","-2.26152671614167","53.4761784383999","-2.26148674252326"
"N06631Y","A6042 Inner Relief Route Southbound at Junction with Water St","53.4782382084376","-2.26062692820912","53.4764784048358","-2.26136676893345"
"N06631Z","A6143 Water St Westbound at Junction with Inner Relief Route","53.4765484132432","-2.26019691237021","53.476288431013","-2.26109679379777"
"N06641A","A57 Regent Rd Eastbound at Junction with Inner Relief Route/Dawson St/Water St","","","",""
"N06641R","Water St Northbound at Junction with Regent Rd/Inner Rekief Route/Dawson St","","","",""
"N06641S","A57 Regent Rd Northbound at Junction with Inner Relief Route/Dawson St/Water St","","","",""
"N06641T","A6042 Inner Relief Rd Westbound at Junction with Dawson St/Water St/Regent Rd","","","",""
"N06641U","A6042 Inner Relief Rd Southbound at Junction with Dawson St/Water St/Regent Rd","","","",""
"N06641V","A57 Dawson St Northbound at Junction with Water St/Regent Rd/Inner Relief Route","","","",""
"N06641W","A57 Dawson St Westbound at Junction with Water St/Regent Rd/Inner Relief Route","","","",""
"N06642Q","A57 Regent Rd Eastbound at Ped Crossing (Water St)","","","",""
"N06661G","A57 Regent Rd Eastbound at Junction with Ordsall Ln","","","",""
"N06661J","B5461 Ordsall Lane Southbound at Junction with Regent Rd","","","",""
"N06661M","A57 Regent Rd Westbound at Junction with Ordsall Ln","","","",""
"N06661N","B5461 Ordsall Lane Eastbound at Junction with Regent Rd","","","",""
"N06661P","B5461 Ordsall Lane Northbound at Junction with Regent Rd","","","",""
"N06671B","A57 Regent Rd Eastbound at Junction with Oldfield Rd","","","",""
"N06671C","A5066 Oldfield Rd Southbound at Junction with Regent Rd","","","",""
"N06671E","A57 Regent Rd Westbound at Junction with Oldfield Rd","","","",""
"N06671F","A5066 Oldfield Rd Northbound at Junction with Regent Rd","","","",""
"N06681A","A57 Regent Rd Westbound at Ped Crossing (Comus St)","","","",""
"N06682G","A57 Regent Rd Eastbound at Ped Crossing (Comus St)","","","",""
"N06691R","Hampson St northwest bound approach at junction of Middlewood St / Hampson St / Ordsall Lane, Salfor","53.4786881472838","-2.26120687646826","53.4788181237525","-2.26178681193989"
"N06691S","Wilburn St approach at junction of Middlewood St / Hampson St / Ordsall Lane, Salford","53.4779182137826","-2.26289664254664","53.4786681359848","-2.26216676026588"
"N06691T","Middlewood St right turn approach at junction of Middlewood St / Hampson St / Ordsall Lane, Salford","53.478768111147","-2.26308665366599","53.4788981059578","-2.26237674421105"
"N06691U","Middlewood St approach at junction of Middlewood St / Hampson St / Ordsall Lane, Salford","53.4795179725021","-2.26663625686567","53.4788681096271","-2.26236674421451"
"N06691V","East Ordall Ln approach at junction of Middlewood St / Hampson St / Ordsall Lane, Salford","53.4798479973942","-2.26215680861716","53.4790880867476","-2.26215677824952"
"N06711A","The Crescent northwest bound reservoir clearance at junction of Albion Way/The Crescent, Salford.","53.485647113085","-2.27639532826294","53.485927070788","-2.27705526008546"
"N06711B","The Crescent southeast bound reservoir clearance at junction of Albion Way/The Crescent, Salford.","53.4860470588094","-2.27690528291319","53.4857171072695","-2.27622535149882"
"N06711C","Cross Ln SEbound at junction of Albion Way/The Crescent, Salford.","","","",""
"N06711D","Cross Ln NWbound at junction of Albion Way/The Crescent, Salford.","53.4854771151749","-2.27765516997362","53.4858670740073","-2.27732522522482"
"N06711F","Broad St ahead approach at junction of Albion Way/The Crescent, Salford.","53.4871569037247","-2.27863511921591","53.4861870386553","-2.27716525724092"
"N06711G","Broad St left off-slip to Albion Way at junction of Albion Way/The Crescent, Salford.","53.4871769022254","-2.27857512722915","53.4862170392474","-2.27687529330873"
"N06711Y","The Crescent nortwest bound approach at junction of Albion Way/The Crescent, Salford.","53.4843973069384","-2.2730956751247","53.4853871518942","-2.27581538761895"
"N06711Z","Albion Way approach at junction of Albion Way/The Crescent, Salford.","53.4817175460393","-2.27844492488214","53.4854471375947","-2.27632532869337"
"N06721H","Broad St northwest bound approach at junction of Broad St/Frederick Rd, Salford.","53.4861070449365","-2.2773852275935","53.4882067581106","-2.28019497355572"
"N06721J","Broad St northwest bound right turn approach at junction of Broad St/Frederick Rd, Salford.","53.4876168399804","-2.27931505581612","53.4882367557194","-2.28011498437339"
"N06721K","Broad St southeast bound approach at junction of Broad St/Frederick Rd, Salford.","53.4900865102196","-2.28208482134204","53.4886067089486","-2.28034497148921"
"N06721L","Fredrick Rd approach at junction of Broad St/Frederick Rd, Salford.","53.4895566123025","-2.27928513688828","53.4885067269555","-2.27990502040609"
"N06731W","Middlewood St approach at junction of Liverpool St/Oldfield Rd, Salford.","53.4787481228823","-2.26242673220715","53.4794479810164","-2.26661625647387"
"N06731X","A5066 Oldfield Rd NEbound at Junction with Liverpool St","53.4767182664513","-2.26911584691058","53.4794079780437","-2.26715618995921"
"N06731Y","Liverpool St approach at junction of Liverpool St/Oldfield Rd, Salford.","53.4799778847341","-2.26900599032259","53.4796679454852","-2.26729618351405"
"N06731Z","Oldfield Rd southwes bound approach at junction of Liverpool St/Oldfield Rd, Salford.","53.4829975956211","-2.26436666880082","53.4797779419336","-2.26663626725139"
"N06811Z","A665 Cheetham Hill Rd Northbound at Ped Crossing (Huxley Ave)","53.500275962563","-2.23636072834881","53.502465711901","-2.2358808738587"
"N06821M","A665 Cheetham Hill Rd Southbound at Junction with Elizabeth St/North St","53.4982561936614","-2.23681059327648","53.4975762676308","-2.2372305155202"
"N06821N","North Street NWbound at Junction with Cheetham Hill Rd/Elizabeth St","53.4963964117866","-2.23685051393228","53.4972163076794","-2.23739048185425"
"N06821P","A665 Cheetham Hill Rd Northbound at Junction with Elizabeth St/North St","53.4955864830901","-2.23853027946042","53.4972962959937","-2.23755046581949"
"N06821Q","Elizabeth St SEbound at Junction with Cheetham Hill Rd/North St","53.4981661825881","-2.23833040688226","53.4976762504591","-2.23761047383104"
"N06822H","A665 Cheetham Hill Rd Southbound at Manchester Fort Retail Park Access","53.4996660362814","-2.23622072073636","53.4987461407497","-2.23648065259774"
"N06822J","Manchester Fort Retail Park Access Westbound at Junction with Cheetham Hill Rd","53.4983062043106","-2.23565073477563","53.4985061695385","-2.23644064778967"
"N06822L","A665 Cheetham Hill Rd Northbound at Manchester Fort Retail Park Access","53.4978762320724","-2.23725052513669","53.4984261721058","-2.23692058686107"
"N06831A","A665 Cheetham Hill Rd Westbound at Junction with Queens Rd","53.500435946315","-2.23618075640866","53.5001759763158","-2.23622074117718"
